Time(ms),Type,X,Y,Z
---,ESP32 RESET,,,
42,ACC,0.292,0.031,0.946
53,GYRO,0.488,-3.723,0.183
76,MAG,-203.467,525.183,-312.415
142,ACC,0.298,0.019,0.935
153,GYRO,0.183,-0.061,0.427
176,MAG,-203.247,525.439,-312.891
241,ACC,0.303,0.022,0.954
253,GYRO,-0.061,-0.061,0.244
276,MAG,-203.613,525.549,-312.268
341,ACC,0.312,0.013,0.946
352,GYRO,1.526,-5.981,0.000
375,MAG,-204.712,525.806,-312.341
440,ACC,0.316,0.032,0.937
452,GYRO,-0.305,-3.174,-3.235
475,MAG,-206.067,524.890,-312.964
540,ACC,0.323,0.022,0.946
551,GYRO,1.038,-1.038,1.892
574,MAG,-207.202,525.439,-312.488
640,ACC,0.326,0.032,0.945
651,GYRO,0.427,-0.305,-0.183
674,MAG,-207.751,525.037,-313.696
739,ACC,0.329,0.031,0.940
751,GYRO,1.099,-0.427,0.427
773,MAG,-207.458,524.854,-312.891
839,ACC,0.336,0.027,0.945
850,GYRO,-0.122,1.831,-1.160
873,MAG,-208.374,523.975,-313.879
938,ACC,0.332,0.023,0.945
950,GYRO,0.732,-1.831,1.343
973,MAG,-208.923,524.121,-313.879
1038,ACC,0.339,0.025,0.941
1049,GYRO,-0.427,0.000,-0.549
1072,MAG,-209.399,523.792,-313.293
1138,ACC,0.343,0.022,0.951
1149,GYRO,0.000,1.831,0.793
1172,MAG,-209.729,524.670,-313.733
1237,ACC,0.333,0.022,0.948
1249,GYRO,-0.366,2.441,-0.854
1271,MAG,-210.352,524.854,-313.916
1337,ACC,0.325,0.025,0.951
1348,GYRO,-0.122,-0.122,0.366
1371,MAG,-210.242,525.073,-313.660
1436,ACC,0.337,0.022,0.939
1448,GYRO,0.122,0.061,-0.671
1471,MAG,-210.388,525.000,-313.257
1536,ACC,0.343,0.019,0.947
1547,GYRO,0.183,1.526,0.000
1570,MAG,-210.754,525.037,-315.198
1636,ACC,0.336,0.020,0.950
1647,GYRO,-0.427,2.197,-1.038
1670,MAG,-211.157,525.623,-314.502
1735,ACC,0.332,0.019,0.951
1747,GYRO,0.366,-1.709,0.000
1769,MAG,-210.791,525.916,-313.074
1835,ACC,0.340,0.021,0.935
1846,GYRO,0.610,0.916,1.099
1869,MAG,-210.278,525.293,-314.832
1934,ACC,0.338,0.015,0.956
1946,GYRO,0.183,4.944,2.747
1969,MAG,-209.656,525.000,-314.758
2034,ACC,0.327,0.019,0.947
2045,GYRO,-0.122,5.859,1.770
2068,MAG,-208.960,524.744,-314.319
2133,ACC,0.324,0.023,0.948
2145,GYRO,0.671,2.563,1.953
2168,MAG,-209.070,524.414,-313.403
2233,ACC,0.320,0.015,0.946
2244,GYRO,0.549,1.099,1.221
2267,MAG,-207.935,525.000,-314.355
2333,ACC,0.320,0.015,0.973
2344,GYRO,0.000,0.000,0.671
2367,MAG,-206.396,524.963,-314.612
2432,ACC,0.313,0.013,0.944
2444,GYRO,0.000,-0.793,0.427
2466,MAG,-205.811,523.975,-314.172
2532,ACC,0.314,0.017,0.950
2543,GYRO,0.122,0.671,0.244
2566,MAG,-206.104,523.938,-312.488
2631,ACC,0.314,0.015,0.942
2643,GYRO,0.305,0.061,0.183
2666,MAG,-204.895,523.901,-312.524
2731,ACC,0.313,0.012,0.961
2742,GYRO,0.427,-4.028,0.305
2765,MAG,-204.932,523.975,-312.378
2831,ACC,0.308,0.010,0.943
2842,GYRO,0.244,-3.540,0.305
2865,MAG,-205.151,524.451,-314.209
2930,ACC,0.311,0.017,0.949
2942,GYRO,-0.366,-1.099,-0.671
2964,MAG,-205.188,524.487,-314.209
3030,ACC,0.317,0.013,0.942
3041,GYRO,0.000,-1.831,-0.061
3064,MAG,-206.323,524.524,-315.271
3129,ACC,0.316,0.013,0.951
3141,GYRO,0.061,-5.920,-0.854
3164,MAG,-206.213,524.231,-314.062
3229,ACC,0.318,0.014,0.940
3240,GYRO,0.000,-3.662,-0.549
3263,MAG,-207.056,524.194,-313.403
3329,ACC,0.323,0.017,0.950
3340,GYRO,-0.427,-1.831,-2.380
3363,MAG,-207.788,524.597,-312.891
3428,ACC,0.329,0.012,0.940
3440,GYRO,0.183,-2.136,-0.488
3462,MAG,-208.630,524.780,-314.941
3528,ACC,0.330,0.015,0.947
3539,GYRO,-0.244,-4.150,-0.916
3562,MAG,-208.411,524.414,-313.184
3627,ACC,0.331,0.012,0.936
3639,GYRO,-0.183,-1.953,0.000
3661,MAG,-209.949,524.927,-313.879
3727,ACC,0.332,0.021,0.941
3738,GYRO,-0.061,-0.366,-1.526
3761,MAG,-209.985,525.403,-313.477
3826,ACC,0.340,0.005,0.939
3838,GYRO,0.244,-1.465,-0.916
3861,MAG,-210.352,525.000,-313.989
3926,ACC,0.340,0.012,0.946
3937,GYRO,-0.671,-3.845,-0.916
3960,MAG,-210.937,525.513,-313.623
4026,ACC,0.336,0.016,0.932
4037,GYRO,0.122,-0.793,0.427
4060,MAG,-211.340,525.879,-314.355
4125,ACC,0.341,0.019,0.940
4137,GYRO,0.000,0.000,-0.977
4159,MAG,-212.439,525.366,-314.648
4225,ACC,0.343,0.008,0.932
4236,GYRO,0.000,-0.610,-0.732
4259,MAG,-212.549,525.769,-313.843
4324,ACC,0.346,0.012,0.954
4336,GYRO,-0.183,-1.038,-0.122
4359,MAG,-212.512,525.732,-313.843
4424,ACC,0.346,0.014,0.935
4435,GYRO,-0.183,0.000,-0.488
4458,MAG,-212.549,525.549,-314.429
4524,ACC,0.347,0.015,0.941
4535,GYRO,0.183,-0.549,-0.793
4558,MAG,-212.549,525.989,-314.172
4623,ACC,0.347,0.010,0.932
4635,GYRO,0.061,-0.793,-0.488
4657,MAG,-213.794,526.062,-313.916
4723,ACC,0.359,0.011,0.944
4734,GYRO,0.671,1.099,0.610
4757,MAG,-213.171,525.916,-313.770
4822,ACC,0.349,0.010,0.938
4834,GYRO,-0.305,1.648,-1.648
4857,MAG,-213.757,525.806,-312.378
4922,ACC,0.344,0.014,0.943
4933,GYRO,0.610,-0.671,0.122
4956,MAG,-213.428,525.220,-313.586
5021,ACC,0.350,0.014,0.929
5033,GYRO,1.160,1.587,0.916
5056,MAG,-213.062,525.220,-314.209
5121,ACC,0.343,0.019,0.933
5132,GYRO,1.282,1.587,2.014
5155,MAG,-212.732,525.916,-314.282
5221,ACC,0.334,0.020,0.935
5232,GYRO,0.305,3.296,-0.183
5255,MAG,-212.183,525.110,-313.696
5320,ACC,0.332,0.018,0.943
5332,GYRO,1.770,0.122,2.197
5354,MAG,-211.597,524.744,-312.854
5420,ACC,0.336,0.014,0.936
5431,GYRO,0.732,2.319,1.099
5454,MAG,-210.901,523.975,-312.854
5519,ACC,0.327,0.013,0.947
5531,GYRO,1.038,0.793,1.526
5554,MAG,-209.766,523.645,-312.415
5619,ACC,0.324,0.014,0.934
5630,GYRO,0.854,-2.441,-0.122
5653,MAG,-209.399,523.572,-309.851
5719,ACC,0.322,0.013,0.939
5730,GYRO,1.038,-1.404,1.587
5753,MAG,-209.216,523.718,-312.085
5818,ACC,0.321,0.015,0.943
5830,GYRO,0.488,0.793,0.427
5852,MAG,-208.264,523.059,-312.671
5918,ACC,0.328,0.010,0.946
5929,GYRO,0.366,-0.977,0.000
5952,MAG,-207.751,523.572,-312.671
6017,ACC,0.323,0.009,0.969
6029,GYRO,-0.061,-0.854,0.610
6052,MAG,-207.898,523.352,-312.488
6117,ACC,0.320,0.008,0.944
6128,GYRO,0.244,-3.784,0.610
6151,MAG,-207.385,523.206,-312.488
6217,ACC,0.327,0.009,0.948
6228,GYRO,-0.122,-0.854,-1.282
6251,MAG,-207.385,522.913,-312.122
6316,ACC,0.331,0.011,0.937
6327,GYRO,0.000,-1.221,-0.610
6350,MAG,-207.605,522.949,-312.524
