Time(ms),Type,X,Y,Z
---,ESP32 RESET,,,
58,ACC,0.305,-0.015,0.950
69,GYRO,0.427,0.488,-0.061
92,MAG,-196.729,597.803,-297.510
158,ACC,0.308,-0.025,0.949
169,GYRO,0.183,-0.793,-0.427
192,MAG,-196.875,597.290,-297.253
257,ACC,0.293,-0.023,0.951
269,GYRO,0.061,-2.197,-0.671
291,MAG,-197.278,597.583,-297.766
357,ACC,0.296,-0.016,0.956
368,GYRO,0.977,-1.648,0.000
391,MAG,-197.534,597.876,-296.960
456,ACC,0.309,-0.015,0.942
468,GYRO,0.000,-0.610,-1.709
491,MAG,-197.937,597.729,-297.913
556,ACC,0.303,-0.016,0.949
567,GYRO,0.244,-2.380,-1.526
590,MAG,-198.010,597.949,-296.814
656,ACC,0.311,-0.011,0.943
667,GYRO,-0.427,-3.479,-2.991
690,MAG,-199.219,598.535,-297.839
755,ACC,0.319,-0.012,0.951
767,GYRO,0.122,-1.587,-0.793
789,MAG,-200.317,598.718,-296.594
855,ACC,0.324,-0.015,0.950
866,GYRO,-0.061,-0.427,-0.977
889,MAG,-200.830,598.718,-296.191
954,ACC,0.336,-0.019,0.957
966,GYRO,0.366,-1.099,-0.366
989,MAG,-201.416,598.535,-297.583
1054,ACC,0.333,-0.020,0.945
1065,GYRO,0.000,-0.244,-2.441
1088,MAG,-202.075,598.755,-296.155
1154,ACC,0.325,-0.014,0.950
1165,GYRO,0.061,-0.427,-0.366
1188,MAG,-203.210,598.389,-295.422
1253,ACC,0.324,-0.017,0.946
1265,GYRO,0.183,1.343,0.305
1287,MAG,-203.064,598.572,-296.997
1353,ACC,0.317,-0.015,0.943
1364,GYRO,0.061,0.427,-0.305
1387,MAG,-203.027,598.499,-295.203
1452,ACC,0.328,-0.019,0.946
1464,GYRO,0.183,-1.099,0.061
1487,MAG,-203.284,599.451,-294.873
1552,ACC,0.329,-0.019,0.940
1563,GYRO,-0.488,-0.427,-1.465
1586,MAG,-203.394,599.670,-295.642
1652,ACC,0.325,-0.014,0.940
1663,GYRO,-0.122,-1.099,-0.793
1686,MAG,-203.906,599.780,-296.631
1751,ACC,0.327,-0.019,0.940
1763,GYRO,-0.732,-2.197,-1.770
1785,MAG,-203.870,599.451,-296.887
1851,ACC,0.332,-0.015,0.938
1862,GYRO,1.038,0.122,0.854
1885,MAG,-204.456,599.231,-296.851
1950,ACC,0.337,-0.020,0.940
1962,GYRO,0.000,-0.671,-1.343
1985,MAG,-205.481,600.146,-297.290
2050,ACC,0.343,-0.018,0.951
2061,GYRO,-0.488,-1.953,-1.953
2084,MAG,-205.847,600.403,-297.034
2149,ACC,0.347,-0.017,0.939
2161,GYRO,-1.038,-0.977,-3.418
2184,MAG,-207.092,600.549,-296.228
2249,ACC,0.342,-0.014,0.942
2260,GYRO,-0.183,-0.916,-1.526
2283,MAG,-208.594,600.659,-296.631
2349,ACC,0.347,-0.022,0.936
2360,GYRO,0.305,-1.160,-1.648
2383,MAG,-209.399,600.769,-296.191
2448,ACC,0.356,-0.020,0.943
2460,GYRO,-0.183,-0.671,-1.282
2482,MAG,-209.985,600.842,-295.898
2548,ACC,0.350,-0.021,0.941
2559,GYRO,0.366,0.366,-0.488
2582,MAG,-209.583,600.916,-296.704
2647,ACC,0.346,-0.018,0.937
2659,GYRO,1.953,2.197,3.052
2682,MAG,-209.253,600.806,-295.569
2747,ACC,0.341,-0.018,0.940
2758,GYRO,2.258,2.197,2.991
2781,MAG,-207.349,599.890,-296.191
2847,ACC,0.330,-0.016,0.939
2858,GYRO,2.319,4.456,4.028
2881,MAG,-206.140,599.524,-296.155
2946,ACC,0.329,-0.016,0.948
2958,GYRO,1.770,2.380,3.479
2980,MAG,-205.042,599.451,-296.924
3046,ACC,0.327,-0.016,0.941
3057,GYRO,-0.061,1.221,0.610
3080,MAG,-203.870,599.158,-294.690
3145,ACC,0.320,-0.011,0.947
3157,GYRO,1.282,1.648,2.136
3180,MAG,-203.210,599.341,-294.910
3245,ACC,0.318,-0.015,0.936
3256,GYRO,1.282,2.014,2.380
3279,MAG,-201.965,598.938,-295.825
3345,ACC,0.310,-0.014,0.958
3356,GYRO,2.197,5.005,3.784
3379,MAG,-200.171,598.572,-296.924
3444,ACC,0.312,-0.020,0.945
3456,GYRO,0.854,2.319,1.343
3478,MAG,-199.036,598.096,-295.972
3544,ACC,0.311,-0.014,0.956
3555,GYRO,0.000,0.305,-0.671
3578,MAG,-198.633,598.022,-296.887
3643,ACC,0.314,-0.015,0.952
3655,GYRO,-0.122,0.732,-2.380
3678,MAG,-198.193,597.327,-297.437
3743,ACC,0.316,-0.011,0.960
3754,GYRO,-0.305,-0.916,-1.648
3777,MAG,-198.816,597.510,-296.521
3843,ACC,0.320,-0.018,0.948
3854,GYRO,0.000,-3.113,-2.136
3877,MAG,-199.951,598.169,-296.924
3942,ACC,0.335,-0.020,0.954
3954,GYRO,-0.977,-0.854,-3.174
3976,MAG,-200.830,598.608,-297.913
4042,ACC,0.330,-0.013,0.950
4053,GYRO,-0.916,-3.357,-2.991
4076,MAG,-202.954,598.718,-297.620
4141,ACC,0.331,-0.018,0.941
4153,GYRO,-0.916,-3.174,-2.258
4176,MAG,-203.357,598.535,-297.766
4241,ACC,0.338,-0.021,0.943
4252,GYRO,-0.366,-1.404,-1.709
4275,MAG,-205.334,599.487,-298.169
4341,ACC,0.328,-0.019,0.939
4352,GYRO,0.732,-1.099,0.305
4375,MAG,-205.957,599.744,-298.828
4440,ACC,0.338,-0.024,0.945
4452,GYRO,0.427,-0.793,0.305
4474,MAG,-206.982,600.146,-297.839
4540,ACC,0.336,-0.016,0.941
4551,GYRO,0.183,1.038,-0.488
4574,MAG,-206.836,600.146,-297.107
4639,ACC,0.337,-0.021,0.945
4651,GYRO,0.671,0.183,0.122
4674,MAG,-206.726,599.707,-296.411
4739,ACC,0.332,-0.014,0.931
4750,GYRO,0.061,0.427,0.061
4773,MAG,-207.312,600.073,-298.169
4838,ACC,0.332,-0.018,0.946
4850,GYRO,0.610,0.854,0.244
4873,MAG,-206.653,599.854,-296.960
4938,ACC,0.333,-0.018,0.941
4949,GYRO,0.488,-0.183,-0.061
4972,MAG,-206.250,599.634,-296.960
5038,ACC,0.336,-0.008,0.944
5049,GYRO,0.366,0.305,0.244
5072,MAG,-206.287,599.927,-297.290
