Time(ms),Type,X,Y,Z
---,ESP32 RESET,,,
37,ACC,0.897,-0.340,-0.271
48,GYRO,0.427,-1.465,-1.831
71,MAG,-477.026,529.944,-216.174
136,ACC,0.885,-0.344,-0.276
147,GYRO,0.244,-4.639,0.977
170,MAG,-477.100,530.054,-214.197
236,ACC,0.906,-0.343,-0.278
247,GYRO,0.000,-1.465,-4.456
270,MAG,-477.319,529.614,-214.453
335,ACC,0.905,-0.328,-0.275
347,GYRO,-0.061,0.061,-1.099
369,MAG,-477.429,528.918,-214.673
435,ACC,0.899,-0.334,-0.281
446,GYRO,0.244,-1.648,-1.404
469,MAG,-478.308,528.479,-214.453
534,ACC,0.887,-0.341,-0.273
546,GYRO,1.770,-4.944,2.808
569,MAG,-478.418,528.333,-214.124
634,ACC,0.901,-0.328,-0.283
645,GYRO,0.061,-1.526,-3.845
668,MAG,-478.162,528.003,-213.647
734,ACC,0.906,-0.325,-0.271
745,GYRO,0.488,-1.221,-0.671
768,MAG,-478.418,527.417,-213.501
833,ACC,0.902,-0.328,-0.289
845,GYRO,0.000,-0.854,-1.526
867,MAG,-478.455,527.380,-212.073
933,ACC,0.890,-0.334,-0.271
944,GYRO,2.014,-2.441,3.967
967,MAG,-478.418,527.417,-212.402
1032,ACC,0.900,-0.321,-0.294
1044,GYRO,-0.305,-1.221,-4.456
1067,MAG,-478.748,526.941,-213.391
1132,ACC,0.905,-0.320,-0.277
1143,GYRO,0.183,0.366,-1.343
1166,MAG,-478.821,526.941,-212.732
1232,ACC,0.903,-0.318,-0.285
1243,GYRO,0.061,-0.183,-1.282
1266,MAG,-478.931,526.978,-212.805
1331,ACC,0.917,-0.314,-0.273
1343,GYRO,2.014,1.770,2.869
1365,MAG,-478.674,526.172,-212.512
1431,ACC,0.902,-0.310,-0.272
1442,GYRO,-0.916,-0.916,-5.005
1465,MAG,-478.894,526.172,-213.208
1530,ACC,0.909,-0.323,-0.281
1542,GYRO,1.709,3.723,0.549
1565,MAG,-478.821,525.696,-213.574
1630,ACC,0.912,-0.315,-0.274
1641,GYRO,1.343,1.831,0.916
1664,MAG,-478.052,526.245,-214.636
1729,ACC,0.912,-0.321,-0.279
1741,GYRO,1.709,3.113,2.441
