Time(ms),Type,X,Y,Z
1764,MAG,-477.795,526.428,-214.746
1829,ACC,0.907,-0.314,-0.260
1841,GYRO,-0.916,9.949,-1.282
1863,MAG,-477.100,527.710,-216.577
1929,ACC,0.913,-0.331,-0.271
1940,GYRO,2.197,3.601,4.211
1963,MAG,-477.026,528.040,-215.918
2028,ACC,0.898,-0.333,-0.256
2040,GYRO,0.916,0.793,2.563
2063,MAG,-476.294,528.479,-217.310
2128,ACC,0.901,-0.345,-0.251
2139,GYRO,1.221,1.160,1.892
2162,MAG,-475.232,529.651,-218.262
2227,ACC,0.898,-0.340,-0.250
2239,GYRO,-0.305,2.136,2.625
2262,MAG,-474.719,531.042,-218.188
2327,ACC,0.896,-0.349,-0.262
2339,GYRO,1.465,0.305,2.197
2361,MAG,-473.840,531.079,-218.445
2427,ACC,0.896,-0.353,-0.241
2438,GYRO,0.000,-0.671,2.136
2461,MAG,-473.840,532.397,-219.653
2526,ACC,0.895,-0.362,-0.253
2538,GYRO,1.282,0.305,1.831
2561,MAG,-473.547,532.947,-219.873
2626,ACC,0.882,-0.362,-0.245
2637,GYRO,0.061,-6.226,2.075
2660,MAG,-473.364,533.020,-218.591
2726,ACC,0.886,-0.360,-0.264
2737,GYRO,-0.671,-3.174,-4.333
2760,MAG,-473.181,533.350,-218.994
2825,ACC,0.895,-0.356,-0.244
2837,GYRO,-0.244,-1.526,0.000
2859,MAG,-473.621,533.240,-219.360
2925,ACC,0.893,-0.358,-0.257
2936,GYRO,-0.305,-1.831,-2.808
2959,MAG,-473.437,532.764,-219.360
3024,ACC,0.887,-0.360,-0.234
3036,GYRO,-0.061,-5.249,-0.977
3059,MAG,-474.316,532.434,-216.760
3124,ACC,0.909,-0.359,-0.272
3135,GYRO,-0.427,0.427,-6.165
3158,MAG,-475.049,531.628,-216.101
3224,ACC,0.911,-0.345,-0.250
3235,GYRO,0.122,0.000,-0.427
3258,MAG,-475.085,531.189,-217.163
3323,ACC,0.898,-0.346,-0.268
3335,GYRO,-0.671,-0.427,-2.808
3357,MAG,-475.562,531.299,-217.236
3423,ACC,0.917,-0.333,-0.269
3434,GYRO,0.549,1.038,0.977
3457,MAG,-476.404,530.457,-216.724
3522,ACC,0.906,-0.326,-0.275
3534,GYRO,-1.831,2.319,-5.432
3557,MAG,-476.147,530.090,-215.332
3622,ACC,0.906,-0.331,-0.264
3633,GYRO,0.305,-1.404,0.305
3656,MAG,-476.843,529.248,-215.991
3722,ACC,0.899,-0.330,-0.280
3733,GYRO,-1.099,0.427,-2.075
3756,MAG,-476.733,528.369,-216.357
3821,ACC,0.904,-0.325,-0.276
3833,GYRO,-0.183,-0.122,-1.648
3855,MAG,-476.331,528.076,-215.625
3921,ACC,0.906,-0.326,-0.272
3932,GYRO,-1.526,3.113,-2.563
3955,MAG,-476.917,528.040,-216.064
4020,ACC,0.901,-0.323,-0.282
4032,GYRO,-0.061,0.183,-0.854
4055,MAG,-476.990,526.685,-214.856
4120,ACC,0.902,-0.315,-0.276
4131,GYRO,-0.549,0.000,-1.587
4154,MAG,-477.136,526.501,-214.307
4220,ACC,0.903,-0.321,-0.278
4231,GYRO,0.000,-1.160,-1.648
4254,MAG,-476.990,526.135,-215.076
4319,ACC,0.894,-0.328,-0.283
4331,GYRO,1.282,-3.784,2.747
4353,MAG,-477.136,525.549,-215.002
4419,ACC,0.901,-0.315,-0.292
4430,GYRO,0.183,-0.366,-2.136
4453,MAG,-477.832,525.110,-214.600
4518,ACC,0.904,-0.312,-0.280
4530,GYRO,0.366,-0.244,-1.038
4553,MAG,-477.905,524.487,-213.831
4618,ACC,0.904,-0.314,-0.281
4629,GYRO,0.549,-1.038,-1.282
4652,MAG,-477.686,524.963,-214.197
4718,ACC,0.930,-0.306,-0.289
4729,GYRO,2.075,4.822,1.770
4752,MAG,-477.759,524.524,-213.647
4817,ACC,0.905,-0.301,-0.264
4829,GYRO,0.122,3.662,-2.136
4851,MAG,-477.173,525.220,-215.149
4917,ACC,0.918,-0.320,-0.267
4928,GYRO,1.892,3.235,2.869
4951,MAG,-476.477,525.183,-214.087
5016,ACC,0.905,-0.321,-0.271
5028,GYRO,0.732,3.174,2.136
5051,MAG,-476.294,526.062,-215.332
5116,ACC,0.903,-0.330,-0.263
5127,GYRO,1.892,1.282,2.136
5150,MAG,-475.598,526.355,-217.053
5216,ACC,0.901,-0.337,-0.264
5227,GYRO,1.465,-2.747,3.784
5250,MAG,-475.452,527.161,-216.394
5315,ACC,0.899,-0.341,-0.269
5327,GYRO,1.831,-1.465,0.854
5349,MAG,-474.683,527.893,-217.200
5415,ACC,0.907,-0.336,-0.239
5426,GYRO,1.709,0.854,3.052
5449,MAG,-474.646,529.285,-217.566
5514,ACC,0.902,-0.347,-0.254
5526,GYRO,1.160,0.000,0.977
5549,MAG,-473.730,529.028,-218.555
5614,ACC,0.918,-0.350,-0.237
5625,GYRO,2.441,1.648,4.089
5648,MAG,-473.108,530.200,-218.774
5714,ACC,0.908,-0.353,-0.257
5725,GYRO,0.549,1.526,-0.854
5748,MAG,-472.705,530.859,-218.921
5813,ACC,0.911,-0.350,-0.239
5825,GYRO,1.404,2.319,2.869
5847,MAG,-472.852,531.445,-219.873
5913,ACC,0.887,-0.357,-0.257
5924,GYRO,-0.977,-1.282,-0.366
5947,MAG,-473.071,531.995,-219.360
6012,ACC,0.900,-0.349,-0.250
6024,GYRO,-0.549,0.061,-1.709
6047,MAG,-473.291,531.628,-218.518
6112,ACC,0.892,-0.344,-0.252
6123,GYRO,-1.099,2.502,1.038
6146,MAG,-473.694,531.738,-218.848
6212,ACC,0.894,-0.347,-0.265
6223,GYRO,0.183,0.488,-0.061
6246,MAG,-473.950,531.628,-219.177
6311,ACC,0.894,-0.345,-0.257
6323,GYRO,-0.977,-0.854,-1.648
6345,MAG,-474.023,531.555,-216.943
6411,ACC,0.900,-0.351,-0.264
6422,GYRO,-0.122,-0.244,-1.770
6445,MAG,-474.243,530.493,-216.504
6510,ACC,0.885,-0.350,-0.250
6522,GYRO,0.244,-5.310,-0.549
6545,MAG,-474.792,530.200,-217.126
6610,ACC,0.907,-0.349,-0.274
6621,GYRO,-0.183,-1.343,-4.883
6644,MAG,-474.316,529.578,-216.724
6710,ACC,0.906,-0.338,-0.254
6721,GYRO,-0.244,-0.854,-0.793
6744,MAG,-475.452,528.882,-217.090
6809,ACC,0.901,-0.340,-0.268
6821,GYRO,0.000,-0.854,-1.831
6843,MAG,-475.562,528.882,-216.687
6909,ACC,0.907,-0.329,-0.278
6920,GYRO,-0.488,-0.366,-1.648
6943,MAG,-475.671,527.930,-216.138
7008,ACC,0.908,-0.326,-0.266
7020,GYRO,-1.831,4.211,-3.723
7043,MAG,-476.111,528.003,-214.453
7108,ACC,0.910,-0.325,-0.274
7119,GYRO,-0.244,1.160,-0.549
7142,MAG,-476.477,527.307,-215.955
7208,ACC,0.900,-0.322,-0.276
7219,GYRO,-0.916,0.427,-1.465
7242,MAG,-477.209,526.978,-215.222
7307,ACC,0.904,-0.327,-0.268
7319,GYRO,0.366,-1.953,-1.221
7341,MAG,-476.990,526.062,-213.062
7407,ACC,0.887,-0.333,-0.271
7418,GYRO,0.671,-4.578,1.587
7441,MAG,-477.502,525.623,-213.245
7506,ACC,0.903,-0.321,-0.287
7518,GYRO,-0.549,-0.183,-3.906
7541,MAG,-477.063,525.000,-213.867
7606,ACC,0.908,-0.316,-0.272
7617,GYRO,0.244,-1.587,-1.709
7640,MAG,-477.319,525.586,-214.490
7706,ACC,0.906,-0.315,-0.286
7717,GYRO,0.000,-1.038,-1.709
7740,MAG,-477.759,524.817,-212.842
7805,ACC,0.909,-0.309,-0.292
7817,GYRO,-0.671,2.930,-1.404
7839,MAG,-477.393,523.975,-212.366
7905,ACC,0.911,-0.312,-0.301
7916,GYRO,-1.892,7.690,-0.793
7939,MAG,-477.942,524.121,-213.611
8004,ACC,0.911,-0.313,-0.270
8016,GYRO,0.549,-0.977,0.610
8039,MAG,-478.235,523.462,-215.515
8104,ACC,0.910,-0.300,-0.275
8115,GYRO,-0.244,1.221,-0.732
8138,MAG,-477.869,522.839,-213.977
